,Common_name,Latin_name,Nonindigenous,Introduced_from_oversea,Comments
105,NORTHERN_HOGSUCKER,Hypentelium nigricans,n,n,
106,NORTHERN_LOGPERCH,Percina carprodes semifasciata,n,n,
107,NORTHERN_PIKE,Esox lucius,n,n,
108,NORTHERN_REDBELLY_DACE,Chrosomus eos,n,n,
109,NORTHERN_STUDFISH,Fundulus catenatus,y,n,
110,ORANGESPOTTED_SUNFISH,Lepomis humilis,n,n,
111,ORANGETHROAT_DARTER,Etheostoma spectabile,n,n,
112,OZARK_MINNOW,Notropis nubilus,n,n,
113,PALLID_SHINER,Hybopsis amnis,n,n,
114,PIRATE_PERCH,Aphredoderus sayanus,n,n,
115,PLAINS_MINNOW,Hybognathus placitus,n,n,
116,PUGNOSE_MINNOW,Opsopoeodus emiliae,n,n,
117,PUGNOSE_SHINER,Notropis anogenus,n,n,
118,PUMPKINSEED,Lepomis gibbosus,n,n,
119,QUILLBACK,Carpiodes cyprinus,n,n,
120,RAINBOW_DARTER,Etheostoma caeruleum,n,n,
121,RAINBOW_TROUT,Oncorhynchus mykiss,y,n,
122,RED_SHINER,Cyprinella lutrensis,n,n,
123,REDBELLY_DACE,ERROR,NA,NA,This is unidentified species
124,REDEAR_SUNFISH,Lepomis microlophus,y,n,
125,REDFIN_PICKEREL,Esox americanus,n,n,
126,REDFIN_SHINER,Lythrurus umbratilis,n,n,
127,REDSIDE_DACE,Clinostomus elongatus,n,n,
128,RIBBON_SHINER,Lythrurus fumeus,n,n,
129,RIVER_CARPSUCKER,Carpiodes carpio,n,n,
130,RIVER_DARTER,Percina shumardi,n,n,
131,RIVER_REDHORSE,Moxostoma carinatum,n,n,
132,RIVER_SHINER,Notropis blennius,n,n,
133,ROCK_BASS,Ambloplites rupestris,n,n,
134,ROSYFACE_SHINER,Notropis rubellus,n,n,
135,ROUND_GOBY,Neogobius melanostomus,y,y,
136,RUFFE,Gymnocephalus cernua,y,y,
137,SAND_SHINER,Notropis stramineus,,,
138,SAUGER,Sander canadensis,n,n,
139,SHOAL_CHUB,Macrhybopsis hyostoma,n,n,
140,SHORTHEAD_REDHORSE,Moxostoma macrolepidotum,n,n,
141,SHORTNOSE_GAR,Lepisosteus platostomus,n,n,
142,SHOVELNOSE_STURGEON,Scaphirhynchus platorynchus,n,n,
143,SILVER_CARP,Hypophthalmichthys molitrix,y,y,
144,SILVER_CHUB,Macrhybopsis storeriana,n,n,
145,SILVER_LAMPREY,Ichthyomyzon unicuspis,n,n,
146,SILVER_REDHORSE,Moxostoma anisurum,n,n,
147,SILVERJAW_MINNOW,Notropis buccatus,n,n,
148,SLENDER_MADTOM,Noturus exilis,n,n,
149,SLENDERHEAD_DARTER,Percina phoxocephala,n,n,
150,SLIMY_SCULPIN,Cottus cognatus,n,n,
151,SLOUGH_DARTER,Etheostoma gracile,n,n,
152,SMALLMOUTH_BASS,Micropterus dolomieu,n,n,
153,SMALLMOUTH_BUFFALO,Ictiobus bubalus,n,n,
154,SOUTHERN_BROOK_LAMPREY,Ichthyomyzon gagei,n,n,
155,SOUTHERN_REDBELLY_DACE,Phoxinus erythrogaster,n,n,
156,SPECKLED_CHUB,Macrhybopsis aestivalis,n,n,
157,SPOTFIN_SHINER,Cyprinella spiloptera,n,n,
158,SPOTTAIL_DARTER,Etheostoma squamiceps,n,n,
159,SPOTTAIL_SHINER,Notropis hudsonius,n,n,
160,SPOTTED_BASS,Micropterus punctulatus,y,n,
161,SPOTTED_GAR,Lepisosteus oculatus,n,n,
162,SPOTTED_SUCKER,Minytrema melanops,n,n,
163,SPOTTED_SUNFISH,Lepomis punctatus,y,n,
164,STARHEAD_TOPMINNOW,Fundulus dispar,n,n,
165,STEELCOLOR_SHINER,Cyprinella whipplei,n,n,
