"","n_rep","mc_capacity","n_species","n_patch","p_branch","min_env","max_env","rho","min_optim","max_optim","sd_env_net","theta","K_type","K0","sd_env","spatial_env_cor","phi","min_niche_width","max_niche_width","niche_cost","p_dispersal","min_alpha","max_alpha","alpha_div","beta_div","gamma_div"
"30",10,52794.5219422099,30,60,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.48406666666667,12.3569333333333,21.841
"31",11,44476.9895574704,30,60,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.6872333333333,11.1567666666667,21.844
"32",12,49620.5895519784,30,60,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,11.18555,15.81445,27
"33",13,50334.6634445567,30,60,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,7.89205,10.10795,18
"34",14,42830.9340604297,30,60,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.2755,8.7605,19.036
"35",15,46740.3253400012,30,60,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.44838333333333,14.3076166666667,23.756
"36",16,75320.4487796092,30,60,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.401,13.679,23.08
"37",17,60332.3964855133,30,60,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,7.60355,0.39645,8
"38",18,83374.2212006356,30,60,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,5.33468333333333,1.66531666666667,7
"39",19,52964.7111458904,30,60,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,8.796,16.204,25
"40",20,59706.1550480207,30,60,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.5347166666667,16.7382833333333,27.273
"41",1,70308.0900542992,30,70,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.69552857142857,9.85947142857143,19.555
"42",2,82686.4470840558,30,70,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.37935714285714,11.9606428571429,21.34
"43",3,68788.6383134556,30,70,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.5382857142857,16.4617142857143,27
"44",4,83616.4473363955,30,70,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,11.8174,8.3106,20.128
"45",5,97689.2298021087,30,70,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.0091714285714,9.99082857142857,20
"46",6,59281.53213405,30,70,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.3370142857143,14.3629857142857,24.7
"47",7,69489.1846741913,30,70,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,11.121,15.879,27
"48",8,99995.1857376793,30,70,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.2473,12.7527,23
"49",9,85033.5887785167,30,70,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.6212285714286,13.0697714285714,23.691
"50",10,97002.4633283392,30,70,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.47485714285714,13.4911428571429,22.966
"51",11,69422.5642909027,30,70,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,12.222,16.778,29
"52",12,83294.0560698537,30,70,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.3929571428571,15.4680428571429,25.861
"53",13,65913.2549915392,30,70,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.99701428571429,15.0029857142857,25
"54",14,53680.3365875981,30,70,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.84431428571428,14.7476857142857,24.592
"55",15,62459.2250869492,30,70,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.31992857142857,13.8030714285714,23.123
"56",16,105391.766707644,30,70,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,7.46421428571429,5.53578571428571,13
"57",17,83802.1155360923,30,70,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.8129857142857,10.1870142857143,21
"58",18,80343.1572777749,30,70,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.38981428571429,7.45118571428572,16.841
"59",19,79476.4326918074,30,70,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.1625142857143,13.9154857142857,24.078
"60",20,63894.0298762174,30,70,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.81058571428571,17.1484142857143,26.959
"61",1,93923.4806904285,30,80,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.8689125,16.5460875,26.415
"62",2,114157.634606666,30,80,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.03625,7.96375,18
"63",3,122478.967463788,30,80,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.1847375,14.5652625,24.75
"64",4,85626.4663974399,30,80,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.302475,13.735525,24.038
"65",5,100904.949798572,30,80,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.9999,15.1801,25.18
"66",6,74069.9146945133,30,80,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.9506625,12.0493375,23
"67",7,93337.0062790953,30,80,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,8.820925,13.310075,22.131
"68",8,99821.3173906267,30,80,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.0601625,12.6728375,22.733
"69",9,66786.704723747,30,80,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.513725,14.486275,24
"70",10,138628.698733382,30,80,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,6.4971625,4.5028375,11
"71",11,90974.7950362164,30,80,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,11.36255,10.78945,22.152
"72",12,112769.71013025,30,80,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.6474875,13.3955125,24.043
"73",13,109206.53649465,30,80,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.38655,16.45945,25.846
"74",14,88464.0258706836,30,80,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,8.9410375,16.4339625,25.375
"75",15,90821.4747532058,30,80,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,8.1672625,14.2157375,22.383
"76",16,127849.897538762,30,80,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,11.4248,8.7962,20.221
"77",17,90673.9993610126,30,80,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.3659875,11.8640125,22.23
"78",18,76944.3613528902,30,80,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.08905,17.63795,27.727
"79",19,110386.493406802,30,80,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,11.9173625,13.3946375,25.312
"80",20,104342.83030618,30,80,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.024975,5.975025,16
"81",1,105160.601410425,30,90,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.0928444444444,11.9071555555556,22
"82",2,110025.722497076,30,90,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,11.1017555555556,16.8982444444444,28
"83",3,140971.463022097,30,90,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.1656111111111,18.0893888888889,28.255
"84",4,97293.4495843755,30,90,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,11.0145222222222,17.0104777777778,28.025
