"","n_rep","n_patch","p_branch","min_env","max_env","rho","min_optim","max_optim","sd_env_net","theta","sd_env","phi","sd_niche_width","niche_cost","p_dispersal","min_alpha","max_alpha","alpha_div","beta_div","gamma_div"
"36",36,94,0.67116818651557,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,14.5502978723404,13.4497021276596,28
"37",37,149,0.265253415703773,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,11.9643020134228,15.7406979865772,27.705
"38",38,123,0.165286324359477,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,12.7317723577236,14.2682276422764,27
"39",39,123,0.599295817129314,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,14.1902764227642,10.6287235772358,24.819
"40",40,121,0.366694136895239,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,13.5854297520661,11.4145702479339,25
"41",41,149,0.508655815012753,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,15.1997651006711,11.8782348993289,27.078
"42",42,58,0.255150573886931,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,10.7630689655172,15.2369310344828,26
"43",43,82,0.430050862580538,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,14.9477195121951,14.0522804878049,29
"44",44,138,0.852201893366873,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,15.9937753623188,13.0062246376812,29
"45",45,112,0.724773822911084,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,14.7997232142857,10.2002767857143,25
"46",46,145,0.590944110043347,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,13.9365724137931,13.1394275862069,27.076
"47",47,112,0.361475281231105,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,13.6100267857143,12.3899732142857,26
"48",48,136,0.113114993833005,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,11.2004044117647,13.7995955882353,25
"49",49,61,0.651853116229177,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,13.9651967213115,12.2158032786885,26.181
"50",50,65,0.106924317218363,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,14.3134769230769,15.6865230769231,30
"51",51,74,0.106015934981406,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,12.1545405405405,13.8454594594595,26
"52",52,60,0.567998564243317,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,10.6403666666667,12.7756333333333,23.416
"53",53,98,0.728276240453124,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,15.0096530612245,10.3433469387755,25.353
"54",54,68,0.142113516107202,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,10.0904558823529,13.9095441176471,24
"55",55,82,0.483296147361398,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,14.9594268292683,12.0405731707317,27
"56",56,133,0.272238079831004,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,12.4298120300752,13.9991879699248,26.429
"57",57,127,0.660429761745036,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,14.1300787401575,12.9379212598425,27.068
"58",58,59,0.455172287113965,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,12.4225423728814,11.9164576271186,24.339
"59",59,80,0.33279136121273,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,14.4635,13.5365,28
"60",60,107,0.471456358395517,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,17.6826355140187,12.3173644859813,30
"61",61,89,0.202500222064555,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,14.587,15.413,30
"62",62,114,0.297633661516011,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,13.7586228070175,13.2413771929825,27
"63",63,72,0.233014561794698,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,13.3426944444444,10.6573055555556,24
"64",64,73,0.468597490713,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,14.1291643835616,13.0088356164384,27.138
"65",65,57,0.796214535832405,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,14.2200701754386,11.7799298245614,26
"66",66,60,0.699721524491906,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,14.8732833333333,10.7727166666667,25.646
"67",67,60,0.720824527926743,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,14.1796166666667,11.8203833333333,26
"68",68,115,0.435854374431074,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,14.3156,12.6844,27
"69",69,143,0.444820642471313,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,13.7429370629371,14.2790629370629,28.022
"70",70,54,0.585511076450348,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,15.0431481481481,9.99385185185185,25.037
"71",71,130,0.711097645573318,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,13.7852615384615,12.4347384615385,26.22
