SiteID,VisitID,Year,OTU,Abundance,Sample_area,Source,Lon,Lat,n_obs,Presence
st00706,st00706-1994,1994,TRIBOLODON_SPP,28,NA,hfish_HSGK,140.591,42.767,2,1
st00707,st00707-1988,1988,COTTUS_NOZAWAE,NA,NA,hfish_HSGK,140.591,43.131,1,1
st00707,st00707-1988,1988,NOEMACHEILUS_BARBATULUS,NA,NA,hfish_HSGK,140.591,43.131,1,1
st00707,st00707-1988,1988,ONCORHYNCHUS_MASOU_MASOU,NA,NA,hfish_HSGK,140.591,43.131,1,1
st00707,st00707-1988,1988,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,NA,NA,hfish_HSGK,140.591,43.131,1,1
st00708,st00708-1988,1988,NOEMACHEILUS_BARBATULUS,NA,NA,hfish_HSGK,140.591,43.172,1,1
st00708,st00708-1988,1988,ONCORHYNCHUS_MASOU_MASOU,NA,NA,hfish_HSGK,140.591,43.172,1,1
st00708,st00708-1988,1988,TRIBOLODON_SPP,NA,NA,hfish_HSGK,140.591,43.172,1,1
st00709,st00709-1999,1999,COTTUS_NOZAWAE,2,NA,hfish_HSGK,140.594,42.785,1,1
st00709,st00709-1999,1999,NOEMACHEILUS_BARBATULUS,1,NA,hfish_HSGK,140.594,42.785,1,1
st00709,st00709-1999,1999,ONCORHYNCHUS_MASOU_MASOU,23,NA,hfish_HSGK,140.594,42.785,1,1
st00710,st00710-1988,1988,NOEMACHEILUS_BARBATULUS,NA,NA,hfish_HSGK,140.594,43.186,1,1
st00710,st00710-1988,1988,ONCORHYNCHUS_MASOU_MASOU,NA,NA,hfish_HSGK,140.594,43.186,1,1
st00710,st00710-1988,1988,TRIBOLODON_SPP,NA,NA,hfish_HSGK,140.594,43.186,1,1
st00711,st00711-1991,1991,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,1,NA,hfish_HSGK,140.595,42.765,1,1
st00711,st00711-1991,1991,TRIBOLODON_SPP,1,NA,hfish_HSGK,140.595,42.765,1,1
st00712,st00712-1999,1999,COTTUS_NOZAWAE,5,NA,hfish_HSGK,140.596,42.743,1,1
st00712,st00712-1999,1999,ONCORHYNCHUS_MASOU_MASOU,9,NA,hfish_HSGK,140.596,42.743,1,1
st00712,st00712-1999,1999,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,4,NA,hfish_HSGK,140.596,42.743,1,1
st00712,st00712-1999,1999,SALVELINUS_MALMA,1,NA,hfish_HSGK,140.596,42.743,1,1
st00713,st00713-1999,1999,COTTUS_NOZAWAE,1,NA,hfish_HSGK,140.596,42.757,1,1
st00713,st00713-1999,1999,NOEMACHEILUS_BARBATULUS,3,NA,hfish_HSGK,140.596,42.757,1,1
