SiteID,VisitID,Year,OTU,Abundance,Sample_area,Source,Lon,Lat,n_obs,Presence
st00655,st00655-1999,1999,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,9,NA,hfish_HSGK,140.56,42.735,1,1
st00656,st00656-1991,1991,ONCORHYNCHUS_MASOU_MASOU,87,NA,hfish_HSGK,140.56,42.856,1,1
st00657,st00657-1990,1990,ONCORHYNCHUS_MASOU_MASOU,10,NA,hfish_HSGK,140.561,42.103,1,1
st00658,st00658-1999,1999,COTTUS_NOZAWAE,5,NA,hfish_HSGK,140.562,42.659,1,1
st00658,st00658-1999,1999,ONCORHYNCHUS_MASOU_MASOU,15,NA,hfish_HSGK,140.562,42.659,1,1
st00658,st00658-1999,1999,ONCORHYNCHUS_MYKISS,2,NA,hfish_HSGK,140.562,42.659,1,1
st00658,st00658-1999,1999,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,1,NA,hfish_HSGK,140.562,42.659,1,1
st00659,st00659-1999,1999,COTTUS_NOZAWAE,4,NA,hfish_HSGK,140.562,42.756,1,1
st00659,st00659-1999,1999,ONCORHYNCHUS_MASOU_MASOU,22,NA,hfish_HSGK,140.562,42.756,1,1
st00659,st00659-1999,1999,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,2,NA,hfish_HSGK,140.562,42.756,1,1
st00660,st00660-1988,1988,COTTUS_NOZAWAE,NA,NA,hfish_HSGK,140.562,43.146,1,1
st00660,st00660-1988,1988,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,NA,NA,hfish_HSGK,140.562,43.146,1,1
st00661,st00661-1999,1999,COTTUS_NOZAWAE,1,NA,hfish_HSGK,140.563,42.747,1,1
st00661,st00661-1999,1999,ONCORHYNCHUS_MASOU_MASOU,30,NA,hfish_HSGK,140.563,42.747,1,1
st00661,st00661-1999,1999,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,3,NA,hfish_HSGK,140.563,42.747,1,1
st00662,st00662-1999,1999,NOEMACHEILUS_BARBATULUS,2,NA,hfish_HSGK,140.564,42.687,1,1
st00662,st00662-1999,1999,ONCORHYNCHUS_MASOU_MASOU,8,NA,hfish_HSGK,140.564,42.687,1,1
st00662,st00662-1999,1999,ONCORHYNCHUS_MYKISS,4,NA,hfish_HSGK,140.564,42.687,1,1
st00662,st00662-1999,1999,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,7,NA,hfish_HSGK,140.564,42.687,1,1
st00663,st00663-1994,1994,COTTUS_NOZAWAE,1,NA,hfish_HSGK,140.565,42.715,1,1
st00663,st00663-1994,1994,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,3,NA,hfish_HSGK,140.565,42.715,1,1
st00663,st00663-1994,1994,TRIBOLODON_SPP,7,NA,hfish_HSGK,140.565,42.715,1,1
st00664,st00664-1988,1988,NOEMACHEILUS_BARBATULUS,NA,NA,hfish_HSGK,140.565,42.818,2,1
st00664,st00664-1988,1988,ONCORHYNCHUS_MASOU_MASOU,NA,NA,hfish_HSGK,140.565,42.818,2,1
st00665,st00665-1990,1990,NOEMACHEILUS_BARBATULUS,2,NA,hfish_HSGK,140.565,42.819,1,1
st00665,st00665-1990,1990,ONCORHYNCHUS_MASOU_MASOU,129,NA,hfish_HSGK,140.565,42.819,1,1
st00666,st00666-1977,1977,ONCORHYNCHUS_MASOU_MASOU,NA,NA,hfish_HSGK,140.565,42.82,1,1
st00667,st00667-1999,1999,NOEMACHEILUS_BARBATULUS,2,NA,hfish_HSGK,140.567,42.715,2,1
st00667,st00667-1999,1999,ONCORHYNCHUS_MASOU_MASOU,43,NA,hfish_HSGK,140.567,42.715,2,1
st00668,st00668-1999,1999,COTTUS_NOZAWAE,2,NA,hfish_HSGK,140.567,42.756,1,1
